"","zip","county","avg_Math","avg_Eng","avg_Sci","AlgI","AlgII","BioI","Chemistry","ELA","EngI","EngII","EngIII","Math","Science","Enrollment","Pct_Black","Pct_Hispanic","Pct_Native_American","Pct_EL","Pct_SWD","Pct_ED","Per_Pupil_Expenditures","Pct_BHN","ACT_Composite","Pct_Chronically_Absent","Pct_Suspended","Pct_Expelled","Graduation","Dropout","CORE_region","primary_city","state","latitude","longitude","irs_estimated_population_2014"
"11",37160,"Bedford County",53.2666666666667,56.025,52.1333333333333,64.3,42.4,62.1,32.5,44.1,72.3,63.1,44.6,53.1,61.8,8270,11.2,20.6,0.5,9.4,10.9,69.9,7756.2,32.3,18.4,8.6,2.2,0,90.8,5.4,"South Central CORE","Shelbyville","TN",35.49,-86.44,31360
"12",37161,"Bedford County",53.2666666666667,56.025,52.1333333333333,64.3,42.4,62.1,32.5,44.1,72.3,63.1,44.6,53.1,61.8,8270,11.2,20.6,0.5,9.4,10.9,69.9,7756.2,32.3,18.4,8.6,2.2,0,90.8,5.4,"South Central CORE","Shelbyville","TN",35.49,-86.44,0
"13",37162,"Bedford County",53.2666666666667,56.025,52.1333333333333,64.3,42.4,62.1,32.5,44.1,72.3,63.1,44.6,53.1,61.8,8270,11.2,20.6,0.5,9.4,10.9,69.9,7756.2,32.3,18.4,8.6,2.2,0,90.8,5.4,"South Central CORE","Shelbyville","TN",35.49,-86.44,895
"14",37180,"Bedford County",53.2666666666667,56.025,52.1333333333333,64.3,42.4,62.1,32.5,44.1,72.3,63.1,44.6,53.1,61.8,8270,11.2,20.6,0.5,9.4,10.9,69.9,7756.2,32.3,18.4,8.6,2.2,0,90.8,5.4,"South Central CORE","Unionville","TN",35.62,-86.59,2930
"15",37183,"Bedford County",53.2666666666667,56.025,52.1333333333333,64.3,42.4,62.1,32.5,44.1,72.3,63.1,44.6,53.1,61.8,8270,11.2,20.6,0.5,9.4,10.9,69.9,7756.2,32.3,18.4,8.6,2.2,0,90.8,5.4,"South Central CORE","Wartrace","TN",35.52,-86.33,2860
"16",38221,"Benton County",62,56.95,58.4,73.7,58.4,77.1,33.1,46,75.4,60.8,45.6,53.9,65,2133,3.9,2.1,0.3,0,18.8,50.2,9714.2,6.3,18.4,6.5,0,0,94.5,3,"Northwest CORE","Big Sandy","TN",36.23,-88.08,2380
"17",38320,"Benton County",62,56.95,58.4,73.7,58.4,77.1,33.1,46,75.4,60.8,45.6,53.9,65,2133,3.9,2.1,0.3,0,18.8,50.2,9714.2,6.3,18.4,6.5,0,0,94.5,3,"Northwest CORE","Camden","TN",36.06,-88.1,8620
"18",38333,"Benton County",62,56.95,58.4,73.7,58.4,77.1,33.1,46,75.4,60.8,45.6,53.9,65,2133,3.9,2.1,0.3,0,18.8,50.2,9714.2,6.3,18.4,6.5,0,0,94.5,3,"Northwest CORE","Eva","TN",36.11,-87.99,380
"19",38341,"Benton County",62,56.95,58.4,73.7,58.4,77.1,33.1,46,75.4,60.8,45.6,53.9,65,2133,3.9,2.1,0.3,0,18.8,50.2,9714.2,6.3,18.4,6.5,0,0,94.5,3,"Northwest CORE","Holladay","TN",35.89,-88.07,1670
"20",37367,"Bledsoe County",59.9333333333333,50.575,49.5666666666667,64.8,73.9,73,19.5,35.4,63.6,53.3,50,41.1,56.2,1674,1.5,6.8,0.6,2.3,19.7,83.5,9495.9,8.9,19.2,9.1,2.4,0.1,92.4,6.9,"Upper Cumberland CORE","Pikeville","TN",35.6,-85.19,7280
"21",37701,"Blount County",61.1666666666667,57.35,59.6333333333333,73.2,59.8,65.1,45.4,46.3,71.8,66,45.3,50.5,68.4,10500,3,4.2,0.4,1.9,12.8,54.2,8866.9,7.6,19.7,17,4.7,0.1,89.1,9.2,"East TN CORE","Alcoa","TN",35.79,-83.97,7030
"22",37737,"Blount County",61.1666666666667,57.35,59.6333333333333,73.2,59.8,65.1,45.4,46.3,71.8,66,45.3,50.5,68.4,10500,3,4.2,0.4,1.9,12.8,54.2,8866.9,7.6,19.7,17,4.7,0.1,89.1,9.2,"East TN CORE","Friendsville","TN",35.75,-84.13,5170
"23",37777,"Blount County",61.1666666666667,57.35,59.6333333333333,73.2,59.8,65.1,45.4,46.3,71.8,66,45.3,50.5,68.4,10500,3,4.2,0.4,1.9,12.8,54.2,8866.9,7.6,19.7,17,4.7,0.1,89.1,9.2,"East TN CORE","Louisville","TN",35.82,-84.04,10500
"24",37801,"Blount County",61.1666666666667,57.35,59.6333333333333,73.2,59.8,65.1,45.4,46.3,71.8,66,45.3,50.5,68.4,10500,3,4.2,0.4,1.9,12.8,54.2,8866.9,7.6,19.7,17,4.7,0.1,89.1,9.2,"East TN CORE","Maryville","TN",35.66,-84.09,22560
"25",37802,"Blount County",61.1666666666667,57.35,59.6333333333333,73.2,59.8,65.1,45.4,46.3,71.8,66,45.3,50.5,68.4,10500,3,4.2,0.4,1.9,12.8,54.2,8866.9,7.6,19.7,17,4.7,0.1,89.1,9.2,"East TN CORE","Maryville","TN",35.74,-83.97,1744
"26",37803,"Blount County",61.1666666666667,57.35,59.6333333333333,73.2,59.8,65.1,45.4,46.3,71.8,66,45.3,50.5,68.4,10500,3,4.2,0.4,1.9,12.8,54.2,8866.9,7.6,19.7,17,4.7,0.1,89.1,9.2,"East TN CORE","Maryville","TN",35.74,-83.97,28450
"27",37804,"Blount County",61.1666666666667,57.35,59.6333333333333,73.2,59.8,65.1,45.4,46.3,71.8,66,45.3,50.5,68.4,10500,3,4.2,0.4,1.9,12.8,54.2,8866.9,7.6,19.7,17,4.7,0.1,89.1,9.2,"East TN CORE","Maryville","TN",35.79,-83.89,21880
"28",37853,"Blount County",61.1666666666667,57.35,59.6333333333333,73.2,59.8,65.1,45.4,46.3,71.8,66,45.3,50.5,68.4,10500,3,4.2,0.4,1.9,12.8,54.2,8866.9,7.6,19.7,17,4.7,0.1,89.1,9.2,"East TN CORE","Rockford","TN",35.82,-83.93,3220
"29",37878,"Blount County",61.1666666666667,57.35,59.6333333333333,73.2,59.8,65.1,45.4,46.3,71.8,66,45.3,50.5,68.4,10500,3,4.2,0.4,1.9,12.8,54.2,8866.9,7.6,19.7,17,4.7,0.1,89.1,9.2,"East TN CORE","Tallassee","TN",35.62,-83.89,370
"30",37882,"Blount County",61.1666666666667,57.35,59.6333333333333,73.2,59.8,65.1,45.4,46.3,71.8,66,45.3,50.5,68.4,10500,3,4.2,0.4,1.9,12.8,54.2,8866.9,7.6,19.7,17,4.7,0.1,89.1,9.2,"East TN CORE","Townsend","TN",35.67,-83.75,2400
"31",37886,"Blount County",61.1666666666667,57.35,59.6333333333333,73.2,59.8,65.1,45.4,46.3,71.8,66,45.3,50.5,68.4,10500,3,4.2,0.4,1.9,12.8,54.2,8866.9,7.6,19.7,17,4.7,0.1,89.1,9.2,"East TN CORE","Walland","TN",35.72,-83.81,3620
"32",37310,"Bradley County",38.8666666666667,57.825,61.9,0,59.5,64.1,55.7,52.4,74.4,66.3,38.2,57.1,65.9,9801,3.6,4.3,0.3,1.6,11.3,55.1,8429.3,8.2,18.8,16,3.9,0.1,93.1,5.6,"Southeast CORE","Charleston","TN",35.28,-84.76,4050
"33",37311,"Bradley County",38.8666666666667,57.825,61.9,0,59.5,64.1,55.7,52.4,74.4,66.3,38.2,57.1,65.9,9801,3.6,4.3,0.3,1.6,11.3,55.1,8429.3,8.2,18.8,16,3.9,0.1,93.1,5.6,"Southeast CORE","Cleveland","TN",35.17,-84.86,23280
"34",37312,"Bradley County",38.8666666666667,57.825,61.9,0,59.5,64.1,55.7,52.4,74.4,66.3,38.2,57.1,65.9,9801,3.6,4.3,0.3,1.6,11.3,55.1,8429.3,8.2,18.8,16,3.9,0.1,93.1,5.6,"Southeast CORE","Cleveland","TN",35.23,-84.88,30140
"35",37320,"Bradley County",38.8666666666667,57.825,61.9,0,59.5,64.1,55.7,52.4,74.4,66.3,38.2,57.1,65.9,9801,3.6,4.3,0.3,1.6,11.3,55.1,8429.3,8.2,18.8,16,3.9,0.1,93.1,5.6,"Southeast CORE","Cleveland","TN",35.17,-84.86,2252
"36",37323,"Bradley County",38.8666666666667,57.825,61.9,0,59.5,64.1,55.7,52.4,74.4,66.3,38.2,57.1,65.9,9801,3.6,4.3,0.3,1.6,11.3,55.1,8429.3,8.2,18.8,16,3.9,0.1,93.1,5.6,"Southeast CORE","Cleveland","TN",35.1,-84.82,26900
"37",37336,"Bradley County",38.8666666666667,57.825,61.9,0,59.5,64.1,55.7,52.4,74.4,66.3,38.2,57.1,65.9,9801,3.6,4.3,0.3,1.6,11.3,55.1,8429.3,8.2,18.8,16,3.9,0.1,93.1,5.6,"Southeast CORE","Georgetown","TN",35.3,-84.91,3860
"38",37353,"Bradley County",38.8666666666667,57.825,61.9,0,59.5,64.1,55.7,52.4,74.4,66.3,38.2,57.1,65.9,9801,3.6,4.3,0.3,1.6,11.3,55.1,8429.3,8.2,18.8,16,3.9,0.1,93.1,5.6,"Southeast CORE","Mc Donald","TN",35.08,-84.98,4680
"39",37364,"Bradley County",38.8666666666667,57.825,61.9,0,59.5,64.1,55.7,52.4,74.4,66.3,38.2,57.1,65.9,9801,3.6,4.3,0.3,1.6,11.3,55.1,8429.3,8.2,18.8,16,3.9,0.1,93.1,5.6,"Southeast CORE","Cleveland","TN",35.17,-84.86,508
"40",37714,"Campbell County",46.2,47.025,38.7333333333333,71.6,22,48.9,16.1,36.7,60.5,51.1,39.8,45,51.2,5387,0.4,1.2,0.2,0.6,13.5,70.7,8290.1,1.8,17.2,18.1,4.6,0,87.6,3.1,"East TN CORE","Caryville","TN",36.26,-84.3,3420
"41",37729,"Campbell County",46.2,47.025,38.7333333333333,71.6,22,48.9,16.1,36.7,60.5,51.1,39.8,45,51.2,5387,0.4,1.2,0.2,0.6,13.5,70.7,8290.1,1.8,17.2,18.1,4.6,0,87.6,3.1,"East TN CORE","Duff","TN",36.52,-84.03,1020
"42",37757,"Campbell County",46.2,47.025,38.7333333333333,71.6,22,48.9,16.1,36.7,60.5,51.1,39.8,45,51.2,5387,0.4,1.2,0.2,0.6,13.5,70.7,8290.1,1.8,17.2,18.1,4.6,0,87.6,3.1,"East TN CORE","Jacksboro","TN",36.33,-84.19,7750
"43",37762,"Campbell County",46.2,47.025,38.7333333333333,71.6,22,48.9,16.1,36.7,60.5,51.1,39.8,45,51.2,5387,0.4,1.2,0.2,0.6,13.5,70.7,8290.1,1.8,17.2,18.1,4.6,0,87.6,3.1,"East TN CORE","Jellico","TN",36.57,-84.12,2280
"44",37766,"Campbell County",46.2,47.025,38.7333333333333,71.6,22,48.9,16.1,36.7,60.5,51.1,39.8,45,51.2,5387,0.4,1.2,0.2,0.6,13.5,70.7,8290.1,1.8,17.2,18.1,4.6,0,87.6,3.1,"East TN CORE","La Follette","TN",36.37,-84.12,12810
"45",37819,"Campbell County",46.2,47.025,38.7333333333333,71.6,22,48.9,16.1,36.7,60.5,51.1,39.8,45,51.2,5387,0.4,1.2,0.2,0.6,13.5,70.7,8290.1,1.8,17.2,18.1,4.6,0,87.6,3.1,"East TN CORE","Newcomb","TN",36.54,-84.2,430
"46",37016,"Cannon County",51.15,48.95,51.9333333333333,NA,52.5,66.9,26,45.1,65.7,61.2,23.8,49.8,62.9,1944,1.7,2.3,0.3,0.5,16.2,55.3,8401.6,4.3,18.6,14.5,1.7,0,95.1,2.1,"Upper Cumberland CORE","Auburntown","TN",35.94,-86.09,760
"47",37026,"Cannon County",51.15,48.95,51.9333333333333,NA,52.5,66.9,26,45.1,65.7,61.2,23.8,49.8,62.9,1944,1.7,2.3,0.3,0.5,16.2,55.3,8401.6,4.3,18.6,14.5,1.7,0,95.1,2.1,"Upper Cumberland CORE","Bradyville","TN",35.69,-86.1,1940
"48",37149,"Cannon County",51.15,48.95,51.9333333333333,NA,52.5,66.9,26,45.1,65.7,61.2,23.8,49.8,62.9,1944,1.7,2.3,0.3,0.5,16.2,55.3,8401.6,4.3,18.6,14.5,1.7,0,95.1,2.1,"Upper Cumberland CORE","Readyville","TN",35.8,-86.19,2140
"49",37190,"Cannon County",51.15,48.95,51.9333333333333,NA,52.5,66.9,26,45.1,65.7,61.2,23.8,49.8,62.9,1944,1.7,2.3,0.3,0.5,16.2,55.3,8401.6,4.3,18.6,14.5,1.7,0,95.1,2.1,"Upper Cumberland CORE","Woodbury","TN",35.82,-86.07,7210
"50",37643,"Carter County",23.4,55.35,52.6333333333333,0,NA,70.3,23.5,40.4,69,68.9,43.1,46.8,64.1,5162,1.5,1.9,0.6,0.5,17,76.6,9133.9,4,18.3,16.9,3.1,0,88.6,8,"First TN CORE","Elizabethton","TN",36.33,-82.23,25650
"51",37644,"Carter County",23.4,55.35,52.6333333333333,0,NA,70.3,23.5,40.4,69,68.9,43.1,46.8,64.1,5162,1.5,1.9,0.6,0.5,17,76.6,9133.9,4,18.3,16.9,3.1,0,88.6,8,"First TN CORE","Elizabethton","TN",36.33,-82.23,1082
"52",37658,"Carter County",23.4,55.35,52.6333333333333,0,NA,70.3,23.5,40.4,69,68.9,43.1,46.8,64.1,5162,1.5,1.9,0.6,0.5,17,76.6,9133.9,4,18.3,16.9,3.1,0,88.6,8,"First TN CORE","Hampton","TN",36.28,-82.17,3320
"53",37682,"Carter County",23.4,55.35,52.6333333333333,0,NA,70.3,23.5,40.4,69,68.9,43.1,46.8,64.1,5162,1.5,1.9,0.6,0.5,17,76.6,9133.9,4,18.3,16.9,3.1,0,88.6,8,"First TN CORE","Milligan College","TN",36.3,-82.29,415
"54",37687,"Carter County",23.4,55.35,52.6333333333333,0,NA,70.3,23.5,40.4,69,68.9,43.1,46.8,64.1,5162,1.5,1.9,0.6,0.5,17,76.6,9133.9,4,18.3,16.9,3.1,0,88.6,8,"First TN CORE","Roan Mountain","TN",36.18,-82.07,3560
"55",37694,"Carter County",23.4,55.35,52.6333333333333,0,NA,70.3,23.5,40.4,69,68.9,43.1,46.8,64.1,5162,1.5,1.9,0.6,0.5,17,76.6,9133.9,4,18.3,16.9,3.1,0,88.6,8,"First TN CORE","Watauga","TN",36.36,-82.29,1470
"56",37015,"Cheatham County",27.85,56.875,64.2666666666667,0,NA,73.3,53.1,46.4,75.5,57.7,47.9,55.7,66.4,6240,2.6,3.6,0.4,1.1,15.3,49.1,8412.6,6.6,20.8,13.4,5.8,0.1,91.2,5.9,"Mid Cumberland CORE","Ashland City","TN",36.27,-87.05,16510
"57",37035,"Cheatham County",27.85,56.875,64.2666666666667,0,NA,73.3,53.1,46.4,75.5,57.7,47.9,55.7,66.4,6240,2.6,3.6,0.4,1.1,15.3,49.1,8412.6,6.6,20.8,13.4,5.8,0.1,91.2,5.9,"Mid Cumberland CORE","Chapmansboro","TN",36.37,-87.11,3290
"58",37082,"Cheatham County",27.85,56.875,64.2666666666667,0,NA,73.3,53.1,46.4,75.5,57.7,47.9,55.7,66.4,6240,2.6,3.6,0.4,1.1,15.3,49.1,8412.6,6.6,20.8,13.4,5.8,0.1,91.2,5.9,"Mid Cumberland CORE","Kingston Springs","TN",36.09,-87.1,5890
"59",37143,"Cheatham County",27.85,56.875,64.2666666666667,0,NA,73.3,53.1,46.4,75.5,57.7,47.9,55.7,66.4,6240,2.6,3.6,0.4,1.1,15.3,49.1,8412.6,6.6,20.8,13.4,5.8,0.1,91.2,5.9,"Mid Cumberland CORE","Pegram","TN",36.1,-87.05,3700
"60",37146,"Cheatham County",27.85,56.875,64.2666666666667,0,NA,73.3,53.1,46.4,75.5,57.7,47.9,55.7,66.4,6240,2.6,3.6,0.4,1.1,15.3,49.1,8412.6,6.6,20.8,13.4,5.8,0.1,91.2,5.9,"Mid Cumberland CORE","Pleasant View","TN",36.37,-87.04,6990
"61",38332,"Chester County",67.8,63.45,70.1333333333333,73.6,63.3,76.8,55.6,53.7,72.9,73.1,54.1,66.5,78,2774,13.8,3,0.5,0.1,10,40,7681.2,17.3,19.7,12.6,0,0,88.4,6.6,"Southwest/Memphis CORE","Enville","TN",35.38,-88.42,920
"62",38340,"Chester County",67.8,63.45,70.1333333333333,73.6,63.3,76.8,55.6,53.7,72.9,73.1,54.1,66.5,78,2774,13.8,3,0.5,0.1,10,40,7681.2,17.3,19.7,12.6,0,0,88.4,6.6,"Southwest/Memphis CORE","Henderson","TN",35.44,-88.64,10120
"63",38347,"Chester County",67.8,63.45,70.1333333333333,73.6,63.3,76.8,55.6,53.7,72.9,73.1,54.1,66.5,78,2774,13.8,3,0.5,0.1,10,40,7681.2,17.3,19.7,12.6,0,0,88.4,6.6,"Southwest/Memphis CORE","Jacks Creek","TN",35.48,-88.5,340
"64",38352,"Chester County",67.8,63.45,70.1333333333333,73.6,63.3,76.8,55.6,53.7,72.9,73.1,54.1,66.5,78,2774,13.8,3,0.5,0.1,10,40,7681.2,17.3,19.7,12.6,0,0,88.4,6.6,"Southwest/Memphis CORE","Luray","TN",35.53,-88.53,480
"65",37707,"Claiborne County",42.0333333333333,52.625,44.8,52.1,21.6,53.4,24.3,42.7,70.2,59.5,38.1,52.4,56.7,4313,1.8,1.2,0.3,0.2,13.8,77,9283.4,3.3,17.7,20.2,4.6,0,95.3,2.5,"East TN CORE","Arthur","TN",36.54,-83.67,327
"66",37715,"Claiborne County",42.0333333333333,52.625,44.8,52.1,21.6,53.4,24.3,42.7,70.2,59.5,38.1,52.4,56.7,4313,1.8,1.2,0.3,0.2,13.8,77,9283.4,3.3,17.7,20.2,4.6,0,95.3,2.5,"East TN CORE","Clairfield","TN",36.54,-83.95,620
"67",37724,"Claiborne County",42.0333333333333,52.625,44.8,52.1,21.6,53.4,24.3,42.7,70.2,59.5,38.1,52.4,56.7,4313,1.8,1.2,0.3,0.2,13.8,77,9283.4,3.3,17.7,20.2,4.6,0,95.3,2.5,"East TN CORE","Cumberland Gap","TN",36.55,-83.71,1600
"68",37730,"Claiborne County",42.0333333333333,52.625,44.8,52.1,21.6,53.4,24.3,42.7,70.2,59.5,38.1,52.4,56.7,4313,1.8,1.2,0.3,0.2,13.8,77,9283.4,3.3,17.7,20.2,4.6,0,95.3,2.5,"East TN CORE","Eagan","TN",36.55,-83.98,131
"69",37752,"Claiborne County",42.0333333333333,52.625,44.8,52.1,21.6,53.4,24.3,42.7,70.2,59.5,38.1,52.4,56.7,4313,1.8,1.2,0.3,0.2,13.8,77,9283.4,3.3,17.7,20.2,4.6,0,95.3,2.5,"East TN CORE","Harrogate","TN",36.56,-83.54,4870
"70",37773,"Claiborne County",42.0333333333333,52.625,44.8,52.1,21.6,53.4,24.3,42.7,70.2,59.5,38.1,52.4,56.7,4313,1.8,1.2,0.3,0.2,13.8,77,9283.4,3.3,17.7,20.2,4.6,0,95.3,2.5,"East TN CORE","Lone Mountain","TN",36.38,-83.58,28
"71",37824,"Claiborne County",42.0333333333333,52.625,44.8,52.1,21.6,53.4,24.3,42.7,70.2,59.5,38.1,52.4,56.7,4313,1.8,1.2,0.3,0.2,13.8,77,9283.4,3.3,17.7,20.2,4.6,0,95.3,2.5,"East TN CORE","New Tazewell","TN",36.43,-83.6,2101
"72",37825,"Claiborne County",42.0333333333333,52.625,44.8,52.1,21.6,53.4,24.3,42.7,70.2,59.5,38.1,52.4,56.7,4313,1.8,1.2,0.3,0.2,13.8,77,9283.4,3.3,17.7,20.2,4.6,0,95.3,2.5,"East TN CORE","New Tazewell","TN",36.43,-83.6,5490
"73",37851,"Claiborne County",42.0333333333333,52.625,44.8,52.1,21.6,53.4,24.3,42.7,70.2,59.5,38.1,52.4,56.7,4313,1.8,1.2,0.3,0.2,13.8,77,9283.4,3.3,17.7,20.2,4.6,0,95.3,2.5,"East TN CORE","Pruden","TN",36.58,-83.91,42
"74",37867,"Claiborne County",42.0333333333333,52.625,44.8,52.1,21.6,53.4,24.3,42.7,70.2,59.5,38.1,52.4,56.7,4313,1.8,1.2,0.3,0.2,13.8,77,9283.4,3.3,17.7,20.2,4.6,0,95.3,2.5,"East TN CORE","Shawanee","TN",36.57,-83.55,90
"75",37870,"Claiborne County",42.0333333333333,52.625,44.8,52.1,21.6,53.4,24.3,42.7,70.2,59.5,38.1,52.4,56.7,4313,1.8,1.2,0.3,0.2,13.8,77,9283.4,3.3,17.7,20.2,4.6,0,95.3,2.5,"East TN CORE","Speedwell","TN",36.47,-83.81,3180
"76",37879,"Claiborne County",42.0333333333333,52.625,44.8,52.1,21.6,53.4,24.3,42.7,70.2,59.5,38.1,52.4,56.7,4313,1.8,1.2,0.3,0.2,13.8,77,9283.4,3.3,17.7,20.2,4.6,0,95.3,2.5,"East TN CORE","Tazewell","TN",36.45,-83.57,7730
"77",38551,"Clay County",63.1333333333333,46.825,50.5333333333333,68,81.4,65.8,31.8,33.5,60,57.9,35.9,40,54,1024,1.8,2.1,0.3,0.3,16.2,70.7,9237.5,4.2,18.4,9.8,0.5,0,96.8,1.6,"Upper Cumberland CORE","Celina","TN",36.54,-85.5,3220
"78",38575,"Clay County",63.1333333333333,46.825,50.5333333333333,68,81.4,65.8,31.8,33.5,60,57.9,35.9,40,54,1024,1.8,2.1,0.3,0.3,16.2,70.7,9237.5,4.2,18.4,9.8,0.5,0,96.8,1.6,"Upper Cumberland CORE","Moss","TN",36.59,-85.68,960
"79",37713,"Cocke County",50.9333333333333,47.25,52.9666666666667,60.2,33.5,59.5,34.1,42.7,62.7,56.6,27,59.1,65.3,4456,3.7,3.2,0.2,0.6,16.1,76.2,9246.6,7.1,18.3,14.9,6.1,0.1,93.9,4.3,"First TN CORE","Bybee","TN",36.04,-83.18,1190
"80",37722,"Cocke County",50.9333333333333,47.25,52.9666666666667,60.2,33.5,59.5,34.1,42.7,62.7,56.6,27,59.1,65.3,4456,3.7,3.2,0.2,0.6,16.1,76.2,9246.6,7.1,18.3,14.9,6.1,0.1,93.9,4.3,"First TN CORE","Cosby","TN",35.81,-83.25,4790
"81",37727,"Cocke County",50.9333333333333,47.25,52.9666666666667,60.2,33.5,59.5,34.1,42.7,62.7,56.6,27,59.1,65.3,4456,3.7,3.2,0.2,0.6,16.1,76.2,9246.6,7.1,18.3,14.9,6.1,0.1,93.9,4.3,"First TN CORE","Del Rio","TN",35.91,-83.02,1540
"82",37753,"Cocke County",50.9333333333333,47.25,52.9666666666667,60.2,33.5,59.5,34.1,42.7,62.7,56.6,27,59.1,65.3,4456,3.7,3.2,0.2,0.6,16.1,76.2,9246.6,7.1,18.3,14.9,6.1,0.1,93.9,4.3,"First TN CORE","Hartford","TN",35.81,-83.14,530
"83",37821,"Cocke County",50.9333333333333,47.25,52.9666666666667,60.2,33.5,59.5,34.1,42.7,62.7,56.6,27,59.1,65.3,4456,3.7,3.2,0.2,0.6,16.1,76.2,9246.6,7.1,18.3,14.9,6.1,0.1,93.9,4.3,"First TN CORE","Newport","TN",35.96,-83.19,17250
"84",37822,"Cocke County",50.9333333333333,47.25,52.9666666666667,60.2,33.5,59.5,34.1,42.7,62.7,56.6,27,59.1,65.3,4456,3.7,3.2,0.2,0.6,16.1,76.2,9246.6,7.1,18.3,14.9,6.1,0.1,93.9,4.3,"First TN CORE","Newport","TN",35.96,-83.19,1178
"85",37843,"Cocke County",50.9333333333333,47.25,52.9666666666667,60.2,33.5,59.5,34.1,42.7,62.7,56.6,27,59.1,65.3,4456,3.7,3.2,0.2,0.6,16.1,76.2,9246.6,7.1,18.3,14.9,6.1,0.1,93.9,4.3,"First TN CORE","Parrottsville","TN",36,-83.09,3100
"86",37018,"Coffee County",67.9,57.2,54.8666666666667,69.8,76.3,67,31.5,47.6,76.2,64.5,40.5,57.6,66.1,4308,2.7,5.2,0.2,1.3,13.9,57.4,9068.1,8.1,20,16.5,1.7,0,88.9,6.4,"South Central CORE","Beechgrove","TN",35.64,-86.2,1670
"87",37342,"Coffee County",67.9,57.2,54.8666666666667,69.8,76.3,67,31.5,47.6,76.2,64.5,40.5,57.6,66.1,4308,2.7,5.2,0.2,1.3,13.9,57.4,9068.1,8.1,20,16.5,1.7,0,88.9,6.4,"South Central CORE","Hillsboro","TN",35.36,-85.95,3120
"88",37349,"Coffee County",67.9,57.2,54.8666666666667,69.8,76.3,67,31.5,47.6,76.2,64.5,40.5,57.6,66.1,4308,2.7,5.2,0.2,1.3,13.9,57.4,9068.1,8.1,20,16.5,1.7,0,88.9,6.4,"South Central CORE","Manchester","TN",35.46,-86.08,971
