"","zip_code","agi_range","return_count","exemption_count","dependent_count","agi_amt","salary_wages_count","salary_wages_amt","taxable_interest_count","taxable_interest_amt","ordinary_dividends_count","ordinary_dividends_amt","business_income_count","business_income_amt","farm_income_count","net_capital_gain_count","net_capital_gain_amt","taxable_IRA_dist_count","taxable_IRA_dist_amt","pension_income_count","pension_income_amt","unemployment_count","unemployment_amt","social_security_count","social_security_amt","item_deduc_count","item_deduc_amt","charitable_contribution_count","charitable_contribution_amt","mortgage_int_count","mortgage_int_amt","property_tax_count","property_tax_amt","state_local_income_tax_count","state_local_income_tax_amt","state_local_sales_tax_count","state_local_sales_tax_amt","taxable_income_count","taxable_income_amt","tot_tax_credit_count","tot_tax_credit_amt","earned_income_credit_count","earned_income_credit_amt","excess_eaned_income_credit_count","excess_eaned_income_credit_amt","tax_liability_count","tax_liability_amt","balance_due_count","balance_due_amt","refund_count","refund_amt","paid_prep_count","year"
"11",NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"12","37010","Total","2330","5100","1770","145814","2020","106011","840","691","390","966","360","6568","150","370","3838","160","1600","520","12147","80","394","270","3449","670","13176","540","2939","560","5243","590","1280","70","353","520","1320","1860","101030","830","1145","290","656","260","555","1790","18467","450","2701","1770","4899","1190",2013
"13","37010","$1 under $25,000","840","1080","280","9803","680","7896","150","134","50","46","80","609","30","50","52","30","151","90","988","40","201","30","38","40","515","0","0","20","170","20","31","0","0","30","32","390","2062","70","26","170","423","160","358","400","320","80","59","710","998","410",2013
"14","37010","$25,000 under $50,000","440","970","360","16054","400","13875","110","51","40","61","70","545","30","40","44","20","93","80","1238","0","0","60","328","80","1319","70","232","60","550","70","112","0","0","60","82","420","7827","190","183","120","233","100","197","350","918","70","123","360","1189","210",2013
"15","37010","$50,000 under $75,000","350","920","320","21963","310","17102","160","91","80","138","60","422","40","70","267","40","357","100","2165","20","87","70","1018","130","2254","100","445","110","801","110","195","30","66","100","178","350","13647","180","271","0","0","0","0","340","1714","70","213","270","832","170",2013
"16","37010","$75,000 under $100,000","260","780","280","22920","240","17634","140","72","70","109","60","1084","0","60","235","20","257","90","2337","20","106","50","898","120","2152","100","401","100","934","110","216","0","0","90","216","260","15931","150","278","0","0","0","0","260","2232","60","234","190","784","140",2013
"17","37010","$100,000 under $200,000","360","1110","430","46243","330","35547","220","161","110","365","70","1524","50","100","1020","50","742","130","4526","0","0","60","1167","230","5080","200","1231","210","2112","220","516","40","287","180","530","360","35335","200","284","0","0","0","0","360","6117","130","768","220","834","190",2013
"18","37010","$200,000 or more","80","240","100","28831","60","13957","60","182","40","247","20","2384","0","50","2220","0","0","30","893","0","0","0","0","70","1856","70","630","60","676","60","210","0","0","60","282","80","26228","40","103","0","0","0","0","80","7166","40","1304","20","262","70",2013
"19",NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"20","37012","Total","920","1900","580","38502","780","31995","300","313","110","81","130","687","110","110","461","70","554","190","2694","40","143","130","1104","120","1935","90","470","70","519","110","102","0","0","90","214","680","23255","260","283","200","465","180","406","660","3677","100","176","780","2122","600",2013
"21","37012","$1 under $25,000","370","590","180","4529","280","3408","90","90","20","9","60","427","30","40","27","20","127","60","545","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140","715","30","11","140","348","130","309","160","137","30","29","310","663","230",2013
"22","37012","$25,000 under $50,000","280","600","190","10234","250","8570","90","169","40","49","30","250","30","40","239","30","153","60","1005","40","143","80","319","60","955","40","189","30","196","50","44","0","0","50","85","270","5088","110","90","60","117","50","97","240","566","50","105","250","694","180",2013
"23","37012","$50,000 under $75,000","130","340","110","7964","120","6469","50","25","20","17","40","10","20","0","0","20","274","40","672","0","0","50","785","0","0","0","0","0","0","0","0","0","0","0","0","130","5032","60","95","0","0","0","0","120","593","0","0","110","329","90",2013
"24","37012","$75,000 under $100,000","90","240","70","7297","80","6499","40","10","30","6","0","0","30","30","195","0","0","30","472","0","0","0","0","30","435","20","106","20","175","30","27","0","0","20","57","90","5238","60","87","0","0","0","0","90","703","20","42","70","236","60",2013
"25","37012","$100,000 under $200,000","50","130","30","8478","50","7049","30","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","545","30","175","20","148","30","31","0","0","20","72","50","7182","0","0","0","0","0","0","50","1678","0","0","40","200","40",2013
"26","37012","$200,000 or more","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2013
"27",NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"28","37013","Total","39920","80210","31270","1514020","36000","1323894","4620","2335","2230","2858","6850","62990","50","1760","6496","1450","16068","4480","69966","1450","6554","2130","23675","8430","137629","6580","27585","7100","51117","7120","12555","330","1070","6390","11430","29960","869432","13210","13782","10330","26058","9080","22500","28130","127372","5620","12933","33770","91688","16460",2013
"29","37013","$1 under $25,000","16850","28340","11320","227462","14090","190040","970","450","400","418","3540","26385","30","320","119","370","2243","1120","8457","680","3366","310","624","900","12791","580","1265","600","3798","610","970","40","44","620","579","7520","46097","2680","1052","6870","18948","6140","16423","8320","8214","1680","1506","14750","35764","7170",2013
"30","37013","$25,000 under $50,000","13370","28410","12030","476294","12670","437100","1220","499","540","651","1620","14975","0","410","858","410","3276","1370","16128","420","1741","720","4632","2710","36413","1910","5507","2140","13371","2120","3240","80","131","1930","2844","12740","242891","6190","5702","3460","7110","2940","6077","10360","27633","1640","2766","11690","33248","5220",2013
"31","37013","$50,000 under $75,000","5120","11500","4050","311080","4860","275916","1010","331","480","519","830","7697","0","410","740","280","3222","880","16110","170","726","520","7202","2230","34312","1790","6642","1970","13445","1960","3207","60","165","1740","2907","5120","203098","2280","3574","0","0","0","0","4890","27262","960","2240","4140","11618","2060",2013
"32","37013","$75,000 under $100,000","2480","6250","2000","213952","2380","186925","650","340","340","463","430","4410","20","270","1068","200","3271","560","11444","90","319","310","5718","1280","23195","1100","5285","1180","8823","1180","2118","70","249","1020","2166","2480","152722","1150","2002","0","0","0","0","2470","22097","560","1753","1900","6082","1030",2013
"33","37013","$100,000 under $200,000","1960","5330","1740","245726","1880","209508","700","574","410","587","400","7393","0","300","1714","190","4056","510","15003","90","402","270","5499","1210","27804","1110","7552","1120","10830","1150","2685","80","481","990","2601","1960","189954","870","1340","0","0","0","0","1950","33276","700","3080","1240","4542","890",2013
"34","37013","$200,000 or more","140","380","130","39506","120","24405","70","141","60","220","30","2130","0","50","1997","0","0","40","2824","0","0","0","0","100","3114","90","1334","90","850","100","335","0","0","90","333","140","34670","40","112","0","0","0","0","140","8890","80","1588","50","434","90",2013
"35",NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"36","37014","Total","870","1890","600","81341","670","57483","380","546","260","901","230","5965","40","250","3370","110","2031","210","4425","0","0","140","2249","360","9621","320","2180","280","3693","330","1008","20","192","310","838","730","61608","270","315","80","138","50","77","730","13703","240","1149","580","1657","450",2013
"37","37014","$1 under $25,000","240","280","60","2669","150","1605","60","114","40","66","50","447","20","40","54","0","0","40","342","0","0","0","0","20","467","0","0","0","0","0","0","0","0","0","0","110","617","0","0","50","97","50","77","130","129","40","41","180","236","100",2013
"38","37014","$25,000 under $50,000","160","310","90","5963","130","4218","40","47","30","62","30","492","0","20","93","40","365","40","668","0","0","50","307","30","785","30","117","30","261","40","93","0","0","40","52","150","2971","70","55","30","41","0","0","140","403","30","56","130","281","70",2013
"39","37014","$50,000 under $75,000","110","270","90","6493","80","4118","40","47","30","52","30","445","0","30","98","30","420","40","982","0","0","30","446","50","839","40","214","30","319","40","85","0","0","40","65","110","3940","50","64","0","0","0","0","100","536","30","79","80","212","60",2013
"40","37014","$75,000 under $100,000","80","210","70","6991","70","4894","40","24","30","90","20","377","20","30","117","0","0","20","552","0","0","20","452","40","883","40","219","30","333","40","89","0","0","40","69","80","4842","30","73","0","0","0","0","80","679","30","92","50","172","50",2013
"41","37014","$100,000 under $200,000","180","520","180","24401","150","17894","120","71","70","231","60","1799","0","70","1205","40","1246","70","1881","0","0","40","1044","140","3666","130","860","120","1421","130","399","20","192","120","344","180","18326","80","113","0","0","0","0","180","3376","70","433","100","458","100",2013
"42","37014","$200,000 or more","100","300","110","34824","90","24754","80","243","60","400","40","2405","0","60","1803","0","0","0","0","0","0","0","0","80","2981","80","770","70","1359","80","342","0","0","70","308","100","30912","40","10","0","0","0","0","100","8580","40","448","40","298","70",2013
"43",NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"44","37015","Total","8060","16610","5710","359217","6940","283248","1650","1719","710","1493","1370","18361","220","650","4163","480","6109","1440","25890","330","1430","920","10334","1320","23205","900","4247","1060","7930","1150","1894","60","241","1060","2170","6160","222513","2420","2724","1790","4071","1510","3329","6020","35391","1160","4183","6700","17496","4170",2013
"45","37015","$1 under $25,000","3140","4900","1610","39334","2440","29052","410","294","140","185","620","5018","50","130","100","130","708","430","3933","150","631","130","244","130","1763","70","159","80","468","100","139","0","0","100","83","1320","7917","340","108","1210","2994","1060","2466","1610","1561","270","255","2730","5548","1550",2013
"46","37015","$25,000 under $50,000","2390","5150","2010","86799","2180","74813","380","304","150","177","310","3199","50","130","262","120","1184","340","4931","90","378","330","1961","340","4461","180","445","270","1620","280","341","0","0","260","345","2310","44367","960","832","580","1077","450","863","1960","5215","260","453","2110","5839","1230",2013
"47","37015","$50,000 under $75,000","1260","3170","1090","77193","1150","64163","320","372","140","211","190","2576","40","120","599","90","1027","280","5215","50","243","210","2980","290","4400","190","702","240","1575","250","353","40","82","230","410","1260","49847","570","907","0","0","0","0","1190","6412","230","573","1020","2947","670",2013
"48","37015","$75,000 under $100,000","650","1730","530","55636","600","45074","220","206","100","265","120","1795","20","90","314","60","831","180","4449","40","178","130","2339","230","4261","180","752","190","1509","210","349","0","0","190","414","650","39608","300","515","0","0","0","0","640","5555","140","525","490","1588","340",2013
"49","37015","$100,000 under $200,000","540","1440","410","69423","500","54093","260","268","140","476","100","3382","60","140","1286","80","2359","180","5126","0","0","100","2275","280","6222","240","1514","240","2358","260","552","20","159","240","726","540","54422","230","331","0","0","0","0","540","9646","210","1243","320","1288","310",2013
"50","37015","$200,000 or more","80","220","60","30832","70","16053","60","275","40","179","30","2391","0","40","1602","0","0","30","2236","0","0","20","535","50","2098","40","675","40","400","50","160","0","0","40","192","80","26352","20","31","0","0","0","0","80","7002","50","1134","30","286","70",2013
"51",NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"52","37016","Total","390","760","220","18951","300","13132","120","40","40","115","90","882","70","50","7","30","125","90","1754","0","0","60","747","70","1338","50","229","60","401","60","90","0","0","60","100","290","12362","100","107","80","185","60","163","300","2182","70","229","300","807","250",2013
"53","37016","$1 under $25,000","140","210","60","1681","100","1229","20","8","0","0","30","145","0","0","0","0","0","30","295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","307","0","0","50","120","40","110","70","55","20","25","120","259","80",2013
"54","37016","$25,000 under $50,000","100","200","60","3437","80","2762","30","15","0","0","40","391","40","30","-16","30","125","40","655","0","0","40","354","50","775","30","59","30","172","40","43","0","0","40","47","90","1621","50","34","30","65","20","53","80","193","0","0","90","249","60",2013
"55","37016","$50,000 under $75,000","60","130","30","3537","50","2675","40","7","40","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","2292","20","28","0","0","0","0","60","309","20","54","40","71","50",2013
"56","37016","$75,000 under $100,000","40","100","30","3036","30","2302","0","0","0","0","20","346","30","20","23","0","0","20","804","0","0","20","393","0","0","0","0","30","229","0","0","0","0","0","0","40","2158","30","45","0","0","0","0","40","289","30","150","30","91","30",2013
"57","37016","$100,000 under $200,000","50","120","40","7260","40","4164","30","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","563","20","170","0","0","20","47","0","0","20","53","50","5984","0","0","0","0","0","0","50","1336","0","0","20","137","30",2013
"58","37016","$200,000 or more","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2013
"59",NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"60","37018","Total","820","1700","530","38271","700","27018","180","102","60","103","160","1342","60","60","330","60","595","130","3097","70","234","100","1270","130","2479","90","522","100","825","110","228","0","0","100","266","570","24289","210","214","230","502","190","429","580","4447","110","489","680","1697","460",2013
"61","37018","$1 under $25,000","390","640","200","4701","310","3635","40","17","0","0","80","465","0","20","16","30","163","50","438","30","125","0","0","30","372","0","0","0","0","0","0","0","0","0","0","140","799","30","7","180","403","150","345","180","163","50","72","340","723","200",2013
"62","37018","$25,000 under $50,000","180","390","130","6524","160","5535","30","6","30","20","30","405","40","0","0","0","0","20","399","40","109","40","171","0","0","0","0","0","0","0","0","0","0","0","0","180","3240","80","61","50","99","40","84","150","396","0","0","160","455","90",2013
"63","37018","$50,000 under $75,000","110","270","70","6882","100","5392","40","12","0","0","30","259","0","20","22","30","432","40","974","0","0","40","597","30","445","50","163","40","242","60","89","0","0","40","68","110","4414","40","61","0","0","0","0","110","573","30","91","90","208","80",2013
"64","37018","$75,000 under $100,000","60","180","60","5135","60","4109","20","10","30","83","0","0","20","0","0","0","0","0","0","0","0","0","0","20","518","0","0","20","189","0","0","0","0","20","46","60","3469","20","46","0","0","0","0","60","462","0","0","50","138","40",2013
"65","37018","$100,000 under $200,000","80","220","70","15029","70","8347","50","57","0","0","20","213","0","20","292","0","0","20","1286","0","0","20","502","50","1144","40","359","40","394","50","139","0","0","40","152","80","12367","40","39","0","0","0","0","80","2853","30","326","40","173","50",2013
"66","37018","$200,000 or more","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2013
"67",NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"68","37019","Total","420","850","270","15993","360","12529","100","54","50","36","50","361","40","30","63","20","177","90","1315","0","0","60","623","20","375","0","0","0","0","20","26","0","0","0","0","310","9356","110","109","100","201","80","183","290","1289","60","124","350","879","270",2013
"69","37019","$1 under $25,000","170","270","80","2156","130","1566","30","12","0","0","30","181","0","0","0","20","177","30","293","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","396","0","0","70","138","50","125","80","64","30","20","150","291","110",2013
"70","37019","$25,000 under $50,000","140","280","100","4853","130","4155","30","15","0","0","20","180","0","0","0","0","0","30","425","0","0","30","132","20","375","0","0","0","0","20","26","0","0","0","0","130","2527","70","46","30","63","30","58","110","283","0","0","120","334","80",2013
"71","37019","$50,000 under $75,000","60","150","50","3659","50","2966","20","13","50","36","0","0","40","30","63","0","0","30","597","0","0","30","491","0","0","0","0","0","0","0","0","0","0","0","0","60","2380","40","63","0","0","0","0","50","302","30","104","40","142","40",2013
"72","37019","$75,000 under $100,000","50","150","40","5325","50","3842","20","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","4053","0","0","0","0","0","0","50","640","0","0","40","112","40",2013
"73","37019","$100,000 under $200,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2013
"74","37019","$200,000 or more","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2013
"75",NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"76","37020","Total","2090","4580","1610","107440","1790","80761","570","746","260","459","400","4963","170","240","2092","150","1950","400","8074","110","393","240","2902","450","8883","330","1861","360","3027","390","614","0","0","380","820","1640","68696","780","944","400","900","320","749","1600","11292","350","1576","1690","4518","1130",2013
"77","37020","$1 under $25,000","740","1110","350","9327","580","7014","140","81","50","37","140","997","50","50","49","40","154","100","978","30","149","30","36","30","587","20","48","20","206","30","43","0","0","30","28","320","2017","90","34","240","622","210","539","360","357","70","91","620","1236","360",2013
"78","37020","$25,000 under $50,000","560","1200","420","20679","490","16979","130","124","70","82","110","1241","30","50","137","40","383","90","1404","40","131","80","526","100","1559","60","202","80","491","80","84","0","0","80","108","530","10242","260","216","160","278","110","210","470","1266","80","181","480","1351","330",2013
"79","37020","$50,000 under $75,000","380","1040","390","23580","350","19418","120","62","50","68","70","781","40","50","234","50","718","90","1757","40","113","60","821","120","1972","80","324","90","660","100","132","0","0","100","192","380","14667","210","337","0","0","0","0","370","1816","70","179","310","874","190",2013
"80","37020","$75,000 under $100,000","190","580","220","16871","180","14635","60","73","30","38","30","398","20","20","28","0","0","50","933","0","0","20","430","70","1206","50","223","60","509","60","86","0","0","60","133","190","11860","120","217","0","0","0","0","190","1583","30","116","160","498","110",2013
"81","37020","$100,000 under $200,000","190","560","200","23594","160","17322","100","205","60","234","50","1546","30","70","1644","20","695","70","3002","0","0","50","1089","110","2581","100","720","110","1161","100","189","0","0","90","267","190","17930","100","140","0","0","0","0","180","3150","100","1009","120","559","110",2013
"82","37020","$200,000 or more","30","90","30","13389","30","5393","20","201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","978","20","344","0","0","20","80","0","0","20","92","30","11980","0","0","0","0","0","0","30","3120","0","0","0","0","30",2013
"83",NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"84","37022","Total","2400","4970","1620","99332","2040","81278","570","523","180","253","430","5562","190","240","1160","160","1938","390","5367","100","388","260","2508","340","5872","230","1001","270","1945","300","370","0","0","270","473","1750","59520","670","736","580","1425","510","1196","1760","9167","370","1276","1960","5298","1380",2013
"85","37022","$1 under $25,000","1030","1660","540","13041","780","9771","160","164","50","68","190","1460","60","60","85","40","335","140","1235","50","211","50","67","40","538","0","0","0","0","20","25","0","0","30","24","400","2363","100","25","430","1106","380","930","510","475","80","72","890","1970","570",2013
"86","37022","$25,000 under $50,000","640","1340","420","23104","580","19820","140","124","30","75","100","1178","40","60","185","50","477","110","1235","20","70","110","636","80","1252","70","270","80","438","70","72","0","0","60","74","620","11487","240","190","150","319","130","266","540","1413","90","177","550","1554","360",2013
"87","37022","$50,000 under $75,000","370","960","330","22661","350","19833","110","36","30","36","60","614","40","40","173","30","312","60","963","30","107","50","796","90","1345","60","151","80","499","80","85","0","0","70","119","370","14401","180","260","0","0","0","0","360","1791","70","195","300","906","230",2013
"88","37022","$75,000 under $100,000","200","560","180","16735","180","13767","80","50","30","33","40","776","20","30","47","40","814","50","1147","0","0","30","532","60","1048","40","211","50","388","60","73","0","0","50","95","200","11907","80","163","0","0","0","0","190","1659","60","179","130","446","120",2013
"89","37022","$100,000 under $200,000","140","400","150","17165","150","18087","80","149","40","41","40","1534","30","50","670","0","0","30","787","0","0","20","477","70","1689","60","369","60","620","70","115","0","0","60","161","140","13386","70","98","0","0","0","0","140","2268","70","653","90","422","100",2013
"90","37022","$200,000 or more","20","50","0","6626","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","5976","0","0","0","0","0","0","20","1561","0","0","0","0","0",2013
"91",NA,"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"92","37023","Total","660","1460","500","27364","540","21505","200","77","40","8","90","642","40","40","69","40","318","160","3433","60","324","80","737","80","1554","70","291","60","438","60","90","0","0","60","136","470","15961","190","227","160","441","140","393","460","2361","80","233","570","1704","320",2013
"93","37023","$1 under $25,000","280","480","160","3623","210","2595","60","18","0","0","60","389","0","0","0","0","0","40","614","30","120","0","0","20","389","0","0","0","0","0","0","0","0","0","0","110","663","20","10","110","318","100","283","130","111","40","37","250","596","120",2013
